Angle DP_number Thrust_angle_deg_thr_1_:_thr1 Rudder_angle_deg_thr1_:_thr1 Nominal_thrust_utilisation_%_thr1_:_thr1 Effective_thrust_kN_thr1_:_thr1 Tx_rudder_kN_thr1_:_thr1 Ty_rudder_kN_thr1_:_thr1 Thrust_loss_factor_thr1_:_thr1 Utilized_power_kW_thr1_:_thr1 Thrust_angle_deg_thr_2_:_thr2 Rudder_angle_deg_thr2_:_thr2 Nominal_thrust_utilisation_%_thr2_:_thr2 Effective_thrust_kN_thr2_:_thr2 Tx_rudder_kN_thr2_:_thr2 Ty_rudder_kN_thr2_:_thr2 Thrust_loss_factor_thr2_:_thr2 Utilized_power_kW_thr2_:_thr2 Thrust_angle_deg_thr_3_:_thr3 Rudder_angle_deg_thr3_:_thr3 Nominal_thrust_utilisation_%_thr3_:_thr3 Effective_thrust_kN_thr3_:_thr3 Tx_rudder_kN_thr3_:_thr3 Ty_rudder_kN_thr3_:_thr3 Thrust_loss_factor_thr3_:_thr3 Utilized_power_kW_thr3_:_thr3 Thrust_angle_deg_thr_4_:_thr4 Rudder_angle_deg_thr4_:_thr4 Nominal_thrust_utilisation_%_thr4_:_thr4 Effective_thrust_kN_thr4_:_thr4 Tx_rudder_kN_thr4_:_thr4 Ty_rudder_kN_thr4_:_thr4 Thrust_loss_factor_thr4_:_thr4 Utilized_power_kW_thr4_:_thr4 Thrust_angle_deg_thr_5_:_thr5 Rudder_angle_deg_thr5_:_thr5 Nominal_thrust_utilisation_%_thr5_:_thr5 Effective_thrust_kN_thr5_:_thr5 Tx_rudder_kN_thr5_:_thr5 Ty_rudder_kN_thr5_:_thr5 Thrust_loss_factor_thr5_:_thr5 Utilized_power_kW_thr5_:_thr5 Fx_current_kN Fy_current_kN Mz_currentk_N Fx_wave_kN Fy_wave_kN Mz_wave_kN Fx_wind_kN Fy_wind_kN Mz_wind_kN solution_Tx_kN_thr_:_thr1 solution_Ty_kN_thr_:_thr1 solution_Tx_kN_thr_:_thr2 solution_Ty_kN_thr_:_thr2 solution_Tx_kN_thr_:_thr3 solution_Ty_kN_thr_:_thr3 solution_Tx_kN_thr_:_thr4 solution_Ty_kN_thr_:_thr4 solution_Tx_kN_thr_:_thr5 solution_Ty_kN_thr_:_thr5
20 1 0 N/A 0.34 0.6 N/A N/A 0.9 0 246 N/A 0.48 0.78 N/A N/A 0.83 0 286 N/A 1.31 1.73 N/A N/A 0.9 1 270 N/A 0.99 1.03 N/A N/A 0.9 1 270 N/A 1.01 1.05 N/A N/A 0.9 1 -0.2 2.9 76.5 -0.1 0.1 0.5 -0.4 0.5 13.4 0.6 0.0 -0.3 -0.7 0.5 -1.7 0.0 -1.0 0.0 -1.1
20 2 318 N/A 2.16 3.79 N/A N/A 0.9 4 246 N/A 0.92 1.48 N/A N/A 0.83 1 286 N/A 5.85 7.72 N/A N/A 0.9 12 270 N/A 4.47 4.65 N/A N/A 0.9 8 270 N/A 4.61 4.8 N/A N/A 0.9 9 -0.8 11.6 305.8 -0.8 2.4 7.5 -1.8 2.6 69.0 2.8 -2.5 -0.6 -1.4 2.1 -7.4 0.0 -4.6 0.0 -4.8
20 3 316 N/A 4.16 7.29 N/A N/A 0.9 11 302 N/A 3.43 6.01 N/A N/A 0.9 8 281 N/A 14.01 18.48 N/A N/A 0.9 46 270 N/A 10.91 11.35 N/A N/A 0.9 32 270 N/A 11.3 11.75 N/A N/A 0.9 34 -1.8 26.1 688.1 -3.3 8.3 26.5 -4.6 6.6 174.1 5.2 -5.1 3.2 -5.1 3.6 -18.1 0.0 -11.4 0.0 -11.8
20 4 321 N/A 7.22 12.63 N/A N/A 0.89 26 312 N/A 6.16 10.78 N/A N/A 0.89 20 287 N/A 19.28 25.43 N/A N/A 0.9 74 270 N/A 14.64 15.23 N/A N/A 0.9 50 270 N/A 15.13 15.74 N/A N/A 0.9 53 -1.8 26.1 688.1 -7.7 16.7 53.1 -9.9 14.2 372.6 9.8 -8.0 7.2 -8.0 7.3 -24.4 0.0 -15.2 0.0 -15.7
20 5 323 N/A 12.58 21.89 N/A N/A 0.89 59 317 N/A 11.1 19.3 N/A N/A 0.89 49 291 N/A 28.4 37.47 N/A N/A 0.9 133 270 N/A 20.9 21.72 N/A N/A 0.9 86 270 N/A 21.56 22.4 N/A N/A 0.9 90 -1.8 26.1 688.1 -16.3 32.1 101.8 -18.1 26.1 683.6 17.5 -13.2 14.1 -13.2 13.7 -34.9 0.0 -21.7 0.0 -22.4
20 6 325 N/A 19.99 34.41 N/A N/A 0.88 118 320 N/A 17.93 30.86 N/A N/A 0.88 101 295 N/A 41.27 54.45 N/A N/A 0.9 233 270 N/A 29.5 30.56 N/A N/A 0.9 144 270 N/A 30.38 31.47 N/A N/A 0.9 151 -1.8 26.1 688.1 -27.6 51.6 163.5 -30.2 43.4 1137.1 28.0 -19.9 23.6 -19.9 22.8 -49.4 0.0 -30.6 0.0 -31.5
20 7 325 N/A 30.82 52.24 N/A N/A 0.87 227 321 N/A 28.05 47.54 N/A N/A 0.87 197 297 N/A 60.12 79.33 N/A N/A 0.9 410 270 N/A 41.81 43.07 N/A N/A 0.89 243 270 N/A 43.0 44.3 N/A N/A 0.89 254 -1.8 26.1 688.1 -44.5 81.7 259.1 -46.3 66.6 1745.9 42.7 -30.1 36.8 -30.1 36.3 -70.5 0.0 -43.1 0.0 -44.3
20 8 325 N/A 44.08 72.93 N/A N/A 0.85 388 322 N/A 40.44 66.91 N/A N/A 0.85 341 299 N/A 84.04 110.88 N/A N/A 0.9 678 270 N/A 56.74 57.8 N/A N/A 0.88 385 270 N/A 58.3 59.4 N/A N/A 0.88 401 -1.8 26.1 688.1 -63.7 113.7 360.5 -67.9 97.6 2558.4 60.1 -41.3 52.6 -41.3 54.0 -96.9 0.0 -57.8 0.0 -59.4
20 9 327 N/A 70.11 110.41 N/A N/A 0.81 778 324 N/A 64.41 101.45 N/A N/A 0.81 685 299 N/A 99.57 131.38 N/A N/A 0.9 874 270 N/A 88.37 87.49 N/A N/A 0.86 748 270 N/A 90.82 89.92 N/A N/A 0.86 779 -1.8 26.1 688.1 -94.8 167.7 531.8 -94.3 135.6 3554.8 92.8 -59.8 82.0 -59.8 63.8 -114.8 0.0 -87.5 0.0 -89.9
30 1 311 N/A 0.47 0.82 N/A N/A 0.9 0 246 N/A 0.28 0.46 N/A N/A 0.83 0 278 N/A 1.84 2.43 N/A N/A 0.9 2 270 N/A 1.45 1.51 N/A N/A 0.9 2 270 N/A 1.5 1.56 N/A N/A 0.9 2 -0.2 4.2 111.8 -0.0 0.2 0.5 -0.3 0.7 17.5 0.5 -0.6 -0.2 -0.4 0.3 -2.4 0.0 -1.5 0.0 -1.6
