Angle DP_number Thrust_angle_deg_thr_1_:_thr1 Rudder_angle_deg_thr1_:_thr1 Nominal_thrust_utilisation_%_thr1_:_thr1 Effective_thrust_kN_thr1_:_thr1 Tx_rudder_kN_thr1_:_thr1 Ty_rudder_kN_thr1_:_thr1 Thrust_loss_factor_thr1_:_thr1 Utilized_power_kW_thr1_:_thr1 Thrust_angle_deg_thr_2_:_thr2 Rudder_angle_deg_thr2_:_thr2 Nominal_thrust_utilisation_%_thr2_:_thr2 Effective_thrust_kN_thr2_:_thr2 Tx_rudder_kN_thr2_:_thr2 Ty_rudder_kN_thr2_:_thr2 Thrust_loss_factor_thr2_:_thr2 Utilized_power_kW_thr2_:_thr2 Thrust_angle_deg_thr_3_:_thr3 Rudder_angle_deg_thr3_:_thr3 Nominal_thrust_utilisation_%_thr3_:_thr3 Effective_thrust_kN_thr3_:_thr3 Tx_rudder_kN_thr3_:_thr3 Ty_rudder_kN_thr3_:_thr3 Thrust_loss_factor_thr3_:_thr3 Utilized_power_kW_thr3_:_thr3 Thrust_angle_deg_thr_4_:_thr4 Rudder_angle_deg_thr4_:_thr4 Nominal_thrust_utilisation_%_thr4_:_thr4 Effective_thrust_kN_thr4_:_thr4 Tx_rudder_kN_thr4_:_thr4 Ty_rudder_kN_thr4_:_thr4 Thrust_loss_factor_thr4_:_thr4 Utilized_power_kW_thr4_:_thr4 Thrust_angle_deg_thr_5_:_thr5 Rudder_angle_deg_thr5_:_thr5 Nominal_thrust_utilisation_%_thr5_:_thr5 Effective_thrust_kN_thr5_:_thr5 Tx_rudder_kN_thr5_:_thr5 Ty_rudder_kN_thr5_:_thr5 Thrust_loss_factor_thr5_:_thr5 Utilized_power_kW_thr5_:_thr5 Fx_current_kN Fy_current_kN Mz_currentk_N Fx_wave_kN Fy_wave_kN Mz_wave_kN Fx_wind_kN Fy_wind_kN Mz_wind_kN solution_Tx_kN_thr_:_thr1 solution_Ty_kN_thr_:_thr1 solution_Tx_kN_thr_:_thr2 solution_Ty_kN_thr_:_thr2 solution_Tx_kN_thr_:_thr3 solution_Ty_kN_thr_:_thr3 solution_Tx_kN_thr_:_thr4 solution_Ty_kN_thr_:_thr4 solution_Tx_kN_thr_:_thr5 solution_Ty_kN_thr_:_thr5
200 9 116 N/A 98.54 139.21 N/A N/A 0.72 1296 128 N/A 99.01 155.93 N/A N/A 0.81 1305 144 N/A 99.39 131.13 N/A N/A 0.9 872 90 N/A 44.47 44.03 N/A N/A 0.86 267 90 N/A 42.68 42.26 N/A N/A 0.86 251 1.8 -26.1 328.8 114.1 -167.7 1218.2 94.3 -135.6 1923.5 -60.5 125.4 -96.7 122.3 -105.6 77.7 0.0 44.0 0.0 42.3
210 8 114 N/A 91.53 138.85 N/A N/A 0.78 1160 114 N/A 85.49 140.97 N/A N/A 0.84 1047 122 N/A 75.12 99.12 N/A N/A 0.9 573 90 N/A 46.96 47.76 N/A N/A 0.88 290 90 N/A 45.86 46.64 N/A N/A 0.88 280 1.6 -38.2 480.7 69.3 -166.2 1083.5 62.6 -142.7 1612.1 -56.5 126.8 -57.5 128.7 -52.9 83.8 0.0 47.8 0.0 46.6
220 7 114 N/A 78.94 122.64 N/A N/A 0.79 929 103 N/A 75.13 126.87 N/A N/A 0.86 863 106 N/A 63.75 84.11 N/A N/A 0.9 448 90 N/A 45.84 47.15 N/A N/A 0.89 279 90 N/A 44.93 46.21 N/A N/A 0.89 271 1.5 -49.1 618.0 42.2 -153.6 886.8 37.8 -125.2 1053.1 -49.9 112.0 -28.1 123.7 -23.8 80.7 0.0 47.1 0.0 46.2
230 7 114 N/A 88.63 137.42 N/A N/A 0.79 1106 96 N/A 86.77 146.23 N/A N/A 0.86 1071 97 N/A 76.85 101.4 N/A N/A 0.9 593 90 N/A 57.3 58.89 N/A N/A 0.89 390 90 N/A 56.38 57.94 N/A N/A 0.89 381 1.2 -58.5 624.0 34.6 -183.0 920.4 31.7 -149.2 824.6 -55.9 125.5 -15.9 145.4 -12.6 100.6 0.0 58.9 0.0 57.9
240 7 114 N/A 94.06 145.54 N/A N/A 0.79 1209 91 N/A 94.91 159.62 N/A N/A 0.86 1225 91 N/A 90.8 119.8 N/A N/A 0.9 761 90 N/A 68.44 70.27 N/A N/A 0.89 510 90 N/A 67.66 69.47 N/A N/A 0.89 501 0.9 -66.1 451.2 25.2 -206.9 886.3 24.7 -168.7 445.6 -59.2 133.0 -3.1 159.6 -1.2 119.8 0.0 70.3 0.0 69.5
250 7 114 N/A 96.91 149.63 N/A N/A 0.79 1264 86 N/A 99.22 166.53 N/A N/A 0.86 1310 85 N/A 99.01 130.64 N/A N/A 0.9 867 90 N/A 81.13 83.22 N/A N/A 0.89 658 90 N/A 80.67 82.75 N/A N/A 0.89 652 0.6 -71.7 213.6 14.2 -224.5 794.3 16.9 -183.0 -44.5 -60.9 136.7 10.7 166.2 10.6 130.2 0.0 83.2 0.0 82.8
260 7 114 N/A 98.57 151.87 N/A N/A 0.79 1297 81 N/A 99.02 165.83 N/A N/A 0.86 1306 80 N/A 99.56 131.36 N/A N/A 0.9 874 90 N/A 95.54 97.91 N/A N/A 0.89 840 90 N/A 95.52 97.89 N/A N/A 0.89 840 0.3 -75.2 -65.4 2.2 -235.3 657.0 8.6 -191.8 -600.1 -61.8 138.7 25.1 163.9 22.8 129.4 0.0 97.9 0.0 97.9
270 6 66 N/A 53.85 92.05 N/A N/A 0.87 524 98 N/A 64.15 109.65 N/A N/A 0.87 681 97 N/A 86.37 113.96 N/A N/A 0.9 706 90 N/A 65.95 68.16 N/A N/A 0.89 482 90 N/A 66.39 68.61 N/A N/A 0.89 487 0.0 -76.3 -360.1 -5.8 -150.8 308.6 0.0 -126.8 -762.8 37.4 84.1 -15.4 108.6 -14.8 113.0 0.0 68.2 0.0 68.6
280 6 66 N/A 50.61 86.6 N/A N/A 0.88 477 93 N/A 58.01 99.27 N/A N/A 0.88 585 93 N/A 88.11 116.26 N/A N/A 0.9 728 90 N/A 68.02 70.33 N/A N/A 0.89 505 90 N/A 68.78 71.11 N/A N/A 0.89 513 -0.3 -75.2 -643.8 -12.0 -148.5 193.2 -5.6 -124.9 -1111.6 35.2 79.1 -5.9 99.1 -6.9 116.1 0.0 70.3 0.0 71.1
290 6 66 N/A 45.97 78.75 N/A N/A 0.88 413 88 N/A 50.89 87.18 N/A N/A 0.88 481 90 N/A 87.38 115.29 N/A N/A 0.9 719 90 N/A 67.84 70.16 N/A N/A 0.89 503 90 N/A 68.88 71.24 N/A N/A 0.89 514 -0.6 -71.7 -890.3 -16.9 -141.7 78.8 -11.0 -119.2 -1404.6 32.0 71.9 3.2 87.1 0.5 115.3 0.0 70.2 0.0 71.2
300 7 114 N/A 79.84 123.54 N/A N/A 0.79 945 38 N/A 99.0 166.51 N/A N/A 0.86 1305 93 N/A 99.78 131.66 N/A N/A 0.9 877 90 N/A 100.0 102.68 N/A N/A 0.89 900 90 N/A 100.0 102.68 N/A N/A 0.89 900 -0.9 -66.1 -1074.8 -33.2 -206.9 -39.2 -24.7 -168.7 -2474.3 -50.3 112.9 131.3 102.4 -7.5 131.4 0.0 102.7 0.0 102.7
310 7 66 N/A 52.2 87.97 N/A N/A 0.86 500 71 N/A 54.86 92.45 N/A N/A 0.86 538 80 N/A 99.47 131.25 N/A N/A 0.9 873 90 N/A 92.03 94.57 N/A N/A 0.89 795 90 N/A 94.12 96.73 N/A N/A 0.89 822 -1.2 -58.5 -1175.7 -37.5 -183.0 -171.1 -31.7 -149.2 -2619.1 35.8 80.4 30.6 87.2 21.7 129.4 0.0 94.6 0.0 96.7
320 7 65 N/A 42.34 71.49 N/A N/A 0.86 365 59 N/A 44.8 75.64 N/A N/A 0.86 397 76 N/A 98.1 129.44 N/A N/A 0.9 855 90 N/A 74.05 76.16 N/A N/A 0.89 573 90 N/A 75.87 78.04 N/A N/A 0.89 595 -1.5 -49.1 -1175.3 -40.7 -153.6 -258.1 -37.8 -125.2 -2558.9 29.7 65.0 38.7 65.0 31.5 125.6 0.0 76.2 0.0 78.0
330 8 52 N/A 50.04 82.5 N/A N/A 0.84 469 47 N/A 54.49 89.85 N/A N/A 0.84 533 70 N/A 99.0 130.63 N/A N/A 0.9 867 90 N/A 87.61 89.11 N/A N/A 0.88 738 90 N/A 89.99 91.53 N/A N/A 0.88 768 -1.6 -38.2 -1006.0 -61.3 -166.2 -403.2 -62.6 -142.7 -3328.5 50.6 65.2 61.8 65.2 44.6 122.8 0.0 89.1 0.0 91.5
340 9 36 N/A 64.41 101.45 N/A N/A 0.81 685 33 N/A 70.11 110.41 N/A N/A 0.81 778 61 N/A 99.57 131.38 N/A N/A 0.9 874 90 N/A 88.37 87.49 N/A N/A 0.86 748 90 N/A 90.82 89.92 N/A N/A 0.86 779 -1.8 -26.1 -688.1 -94.8 -167.7 -531.8 -94.3 -135.6 -3554.8 82.0 59.8 92.8 59.8 63.8 114.8 0.0 87.5 0.0 89.9
350 10 18 N/A 77.52 115.36 N/A N/A 0.76 904 17 N/A 81.98 122.01 N/A N/A 0.76 984 39 N/A 99.0 130.62 N/A N/A 0.9 867 90 N/A 59.55 56.66 N/A N/A 0.82 414 90 N/A 61.25 58.27 N/A N/A 0.82 431 -1.9 -13.3 -349.4 -126.2 -108.9 -426.6 -133.9 -93.3 -2714.2 109.6 36.0 116.6 36.0 101.4 82.4 0.0 56.7 0.0 58.3
