Angle DP_number Thrust_angle_deg_thr_1_:_azi_port Rudder_angle_deg_thr1_:_azi_port Nominal_thrust_utilisation_%_thr1_:_azi_port Effective_thrust_kN_thr1_:_azi_port Tx_rudder_kN_thr1_:_azi_port Ty_rudder_kN_thr1_:_azi_port Thrust_loss_factor_thr1_:_azi_port Utilized_power_kW_thr1_:_azi_port Thrust_angle_deg_thr_2_:_azi_stb Rudder_angle_deg_thr2_:_azi_stb Nominal_thrust_utilisation_%_thr2_:_azi_stb Effective_thrust_kN_thr2_:_azi_stb Tx_rudder_kN_thr2_:_azi_stb Ty_rudder_kN_thr2_:_azi_stb Thrust_loss_factor_thr2_:_azi_stb Utilized_power_kW_thr2_:_azi_stb Thrust_angle_deg_thr_3_:_tt1 Rudder_angle_deg_thr3_:_tt1 Nominal_thrust_utilisation_%_thr3_:_tt1 Effective_thrust_kN_thr3_:_tt1 Tx_rudder_kN_thr3_:_tt1 Ty_rudder_kN_thr3_:_tt1 Thrust_loss_factor_thr3_:_tt1 Utilized_power_kW_thr3_:_tt1 Thrust_angle_deg_thr_4_:_tt2 Rudder_angle_deg_thr4_:_tt2 Nominal_thrust_utilisation_%_thr4_:_tt2 Effective_thrust_kN_thr4_:_tt2 Tx_rudder_kN_thr4_:_tt2 Ty_rudder_kN_thr4_:_tt2 Thrust_loss_factor_thr4_:_tt2 Utilized_power_kW_thr4_:_tt2 Fx_current_kN Fy_current_kN Mz_currentk_N Fx_wave_kN Fy_wave_kN Mz_wave_kN Fx_wind_kN Fy_wind_kN Mz_wind_kN solution_Tx_kN_thr_:_azi_port solution_Ty_kN_thr_:_azi_port solution_Tx_kN_thr_:_azi_stb solution_Ty_kN_thr_:_azi_stb solution_Tx_kN_thr_:_tt1 solution_Ty_kN_thr_:_tt1 solution_Tx_kN_thr_:_tt2 solution_Ty_kN_thr_:_tt2
20 5 332 N/A 17.08 40.7 N/A N/A 0.9 159 328 N/A 15.08 35.93 N/A N/A 0.9 132 270 N/A 27.53 57.51 N/A N/A 0.9 234 270 N/A 28.29 59.06 N/A N/A 0.9 244 -2.9 39.5 1018.9 -21.8 46.1 166.2 -28.3 38.3 1114.4 35.9 -19.2 30.4 -19.2 0.0 -57.5 0.0 -59.1
20 6 334 N/A 27.44 65.36 N/A N/A 0.9 323 330 N/A 24.61 58.63 N/A N/A 0.9 275 270 N/A 39.34 82.15 N/A N/A 0.9 400 270 N/A 40.34 84.11 N/A N/A 0.9 415 -2.9 39.5 1018.9 -37.6 76.2 274.4 -47.1 63.8 1853.6 58.5 -29.1 50.9 -29.1 0.0 -82.2 0.0 -84.1
20 7 334 N/A 42.21 100.42 N/A N/A 0.9 617 331 N/A 38.26 91.02 N/A N/A 0.9 532 270 N/A 56.31 117.46 N/A N/A 0.9 685 270 N/A 57.53 119.44 N/A N/A 0.89 707 -2.9 39.5 1018.9 -61.1 121.9 439.0 -72.3 97.9 2846.2 90.4 -43.6 79.9 -43.6 0.0 -117.5 0.0 -119.4
20 8 335 N/A 60.47 143.51 N/A N/A 0.9 1058 333 N/A 55.01 130.56 N/A N/A 0.9 918 270 N/A 77.44 161.11 N/A N/A 0.9 1104 270 N/A 78.68 162.02 N/A N/A 0.89 1131 -2.9 39.5 1018.9 -88.0 171.9 619.2 -105.9 143.5 4170.7 130.2 -60.3 115.8 -60.3 0.0 -161.1 0.0 -162.0
30 1 0 N/A 0.24 0.57 N/A N/A 0.9 0 287 N/A 0.74 1.76 N/A N/A 0.9 1 270 N/A 1.9 3.97 N/A N/A 0.9 4 270 N/A 1.94 4.06 N/A N/A 0.9 4 -0.3 6.4 165.5 -0.1 0.2 0.7 -0.5 1.1 28.4 0.6 -0.0 0.5 -1.7 0.0 -4.0 0.0 -4.1
30 2 312 N/A 2.46 5.87 N/A N/A 0.9 9 295 N/A 2.01 4.79 N/A N/A 0.9 6 270 N/A 8.34 17.43 N/A N/A 0.9 39 270 N/A 8.61 17.99 N/A N/A 0.9 41 -1.2 25.7 662.0 -1.0 3.9 10.8 -2.6 5.7 145.9 4.0 -4.3 2.0 -4.3 0.0 -17.4 0.0 -18.0
30 3 312 N/A 6.57 15.67 N/A N/A 0.9 38 297 N/A 5.49 13.1 N/A N/A 0.9 29 270 N/A 20.26 42.34 N/A N/A 0.9 148 270 N/A 20.89 43.64 N/A N/A 0.9 155 -2.7 57.8 1489.6 -3.9 15.3 42.3 -6.6 14.3 368.0 10.5 -11.6 6.0 -11.6 0.0 -42.3 0.0 -43.6
30 4 317 N/A 11.17 26.62 N/A N/A 0.9 84 307 N/A 9.57 22.81 N/A N/A 0.9 67 270 N/A 27.39 57.23 N/A N/A 0.9 232 270 N/A 28.18 58.86 N/A N/A 0.9 242 -2.7 57.8 1489.6 -9.8 33.6 92.6 -14.2 30.6 787.5 19.5 -18.1 13.8 -18.1 0.0 -57.2 0.0 -58.9
30 5 320 N/A 19.27 45.92 N/A N/A 0.9 190 313 N/A 16.97 40.45 N/A N/A 0.9 157 270 N/A 39.49 82.5 N/A N/A 0.9 402 270 N/A 40.53 84.61 N/A N/A 0.9 418 -2.7 57.8 1489.6 -21.2 67.4 186.1 -26.1 56.1 1444.7 35.0 -29.7 27.4 -29.7 0.0 -82.5 0.0 -84.6
30 6 321 N/A 30.47 72.57 N/A N/A 0.9 378 316 N/A 27.21 64.82 N/A N/A 0.9 319 270 N/A 56.26 117.48 N/A N/A 0.9 684 270 N/A 57.6 120.07 N/A N/A 0.9 708 -2.7 57.8 1489.6 -36.5 111.4 307.3 -43.4 93.2 2403.1 56.8 -45.2 46.4 -45.2 0.0 -117.5 0.0 -120.1
